methane,air_quality,temperature,humidity,risk
385,129,29,66,Safe
618,212,23,93,High Risk
553,110,45,82,Warning
343,478,41,54,High Risk
659,496,29,37,High Risk
245,330,29,61,Safe
195,297,41,63,Warning
237,55,22,74,Safe
282,550,36,53,High Risk
289,173,34,64,Safe
369,530,39,84,High Risk
140,480,39,81,Warning
919,456,30,77,High Risk
73,253,22,35,Safe
769,134,43,51,High Risk
453,443,27,67,Warning
980,74,41,45,High Risk
155,272,34,65,Safe
278,69,35,42,Safe
954,450,45,36,Critical
436,153,40,93,Warning
602,98,32,87,Warning
354,282,39,49,Warning
804,533,24,82,Critical
117,466,23,73,Warning
493,240,34,55,Warning
870,216,31,35,High Risk
409,472,44,77,High Risk
223,65,25,61,Safe
884,149,26,32,Warning
860,436,37,39,High Risk
506,221,29,85,Warning
673,417,33,53,High Risk
265,122,36,85,Safe
735,314,38,55,Warning
877,65,21,52,Warning
281,510,23,54,High Risk
703,267,33,41,Warning
979,485,33,36,High Risk
281,358,32,40,Warning
366,494,29,41,Warning
502,114,27,34,Warning
296,449,36,57,Warning
213,378,37,50,Warning
124,375,28,53,Warning
491,385,40,33,Warning
728,545,43,83,Critical
230,573,28,56,Warning
911,77,43,36,High Risk
252,253,23,42,Warning
354,308,23,70,Warning
425,351,44,58,High Risk
954,445,41,62,Critical
273,117,29,37,Safe
64,209,22,92,Warning
476,196,25,90,Warning
735,344,42,77,High Risk
253,246,37,72,Warning
853,292,36,83,High Risk
120,404,43,56,Warning
377,256,34,38,Warning
782,460,22,77,High Risk
846,142,26,32,Warning
950,530,30,93,Critical
294,126,40,49,Safe
570,172,39,87,Warning
436,190,33,49,Safe
325,521,28,35,High Risk
559,289,32,54,Warning
473,173,34,55,Safe
205,274,35,78,Safe
122,55,35,60,Safe
430,324,28,33,Warning
551,382,28,35,High Risk
275,89,21,47,Safe
57,246,22,55,Safe
919,497,31,54,High Risk
807,475,30,81,High Risk
68,177,24,53,Safe
783,296,34,74,High Risk
680,573,38,48,High Risk
754,94,34,79,Warning
968,268,39,67,High Risk
739,262,21,34,Warning
145,540,40,49,Warning
420,110,23,79,Safe
399,454,22,95,High Risk
500,567,29,45,High Risk
411,362,39,36,Warning
342,440,31,48,Warning
220,440,37,74,Warning
58,585,25,72,Warning
246,384,22,90,Warning
685,89,33,53,Warning
891,183,41,33,High Risk
398,236,32,50,Warning
276,313,20,77,Warning
285,498,42,90,High Risk
211,153,28,52,Safe
411,289,35,41,Warning
460,396,24,44,Warning
70,327,28,46,Safe
853,284,35,46,High Risk
465,254,27,66,Warning
212,77,45,76,Safe
226,373,34,43,Warning
829,270,28,81,High Risk
677,73,36,31,Warning
409,168,40,89,Warning
778,600,27,57,Critical
584,194,22,38,Warning
242,78,45,44,Safe
361,155,39,41,Safe
956,418,41,46,Critical
218,389,26,82,Warning
131,106,23,57,Safe
849,577,27,93,Critical
336,386,33,90,High Risk
247,203,21,34,Safe
177,490,21,34,Warning
734,338,40,30,Warning
81,314,45,48,Warning
796,139,44,48,High Risk
679,475,41,84,High Risk
825,235,30,48,High Risk
371,435,31,51,Warning
883,374,25,72,High Risk
405,470,20,90,High Risk
988,530,42,59,Critical
320,363,42,43,High Risk
79,233,27,70,Safe
711,51,26,58,Warning
804,180,28,80,Warning
765,257,20,74,High Risk
187,568,30,55,Warning
483,218,36,69,Warning
346,59,33,89,Warning
202,304,31,86,Warning
78,330,27,58,Safe
955,318,34,30,High Risk
139,368,25,49,Warning
408,454,27,52,Warning
