timestamp,methane,air_quality,temperature,humidity,risk
2026-06-25 10:00:00,963,264,21,89,High Risk
2026-06-25 10:00:05,161,64,30,30,Safe
2026-06-25 10:00:10,90,185,28,66,Safe
2026-06-25 10:00:15,487,226,27,74,Warning
2026-06-25 10:00:20,266,54,31,83,Safe
2026-06-25 10:00:25,635,351,25,76,High Risk
2026-06-25 10:00:30,55,379,31,68,Warning
2026-06-25 10:00:35,532,176,40,48,Warning
2026-06-25 10:00:40,669,75,33,95,Warning
2026-06-25 10:00:45,552,134,27,74,Warning
2026-06-25 10:00:50,802,220,25,92,High Risk
2026-06-25 10:00:55,219,348,36,34,Safe
2026-06-25 10:01:00,956,226,44,38,High Risk
2026-06-25 10:01:05,407,417,41,59,High Risk
2026-06-25 10:01:10,653,288,26,71,Warning
2026-06-25 10:01:15,702,269,34,77,Warning
2026-06-25 10:01:20,107,577,31,44,Warning
2026-06-25 10:01:25,948,340,36,88,High Risk
2026-06-25 10:01:30,431,74,26,61,Safe
2026-06-25 10:01:35,905,220,40,35,High Risk
2026-06-25 10:01:40,798,357,45,60,Critical
2026-06-25 10:01:45,420,569,28,53,High Risk
2026-06-25 10:01:50,52,354,42,87,High Risk
2026-06-25 10:01:55,118,464,41,80,Warning
2026-06-25 10:02:00,902,548,36,65,Critical
2026-06-25 10:02:05,402,576,44,32,High Risk
2026-06-25 10:02:10,178,576,42,48,High Risk
2026-06-25 10:02:15,168,290,35,47,Safe
2026-06-25 10:02:20,692,105,20,66,Warning
2026-06-25 10:02:25,249,376,42,94,High Risk
2026-06-25 10:02:30,386,187,35,43,Safe
2026-06-25 10:02:35,226,248,38,38,Safe
2026-06-25 10:02:40,280,529,22,69,High Risk
2026-06-25 10:02:45,875,395,33,76,High Risk
2026-06-25 10:02:50,972,479,28,36,High Risk
2026-06-25 10:02:55,376,356,42,39,High Risk
2026-06-25 10:03:00,761,492,31,47,High Risk
2026-06-25 10:03:05,607,62,41,36,Warning
2026-06-25 10:03:10,901,494,41,56,Critical
2026-06-25 10:03:15,746,430,21,44,High Risk
2026-06-25 10:03:20,892,285,40,87,High Risk
2026-06-25 10:03:25,677,378,27,74,High Risk
2026-06-25 10:03:30,626,593,41,63,Critical
2026-06-25 10:03:35,708,206,23,65,Warning
2026-06-25 10:03:40,640,164,45,37,Warning
2026-06-25 10:03:45,894,397,22,57,High Risk
2026-06-25 10:03:50,801,104,26,59,Warning
2026-06-25 10:03:55,673,328,24,86,High Risk
2026-06-25 10:04:00,587,427,31,92,High Risk
2026-06-25 10:04:05,321,325,27,59,Warning
2026-06-25 10:04:10,401,397,20,54,Warning
2026-06-25 10:04:15,817,546,27,67,Critical
2026-06-25 10:04:20,966,63,36,65,Warning
2026-06-25 10:04:25,105,349,27,31,Safe
2026-06-25 10:04:30,133,505,38,73,Warning
2026-06-25 10:04:35,953,462,44,33,Critical
2026-06-25 10:04:40,94,508,45,38,High Risk
2026-06-25 10:04:45,855,270,40,30,High Risk
2026-06-25 10:04:50,761,237,33,95,High Risk
2026-06-25 10:04:55,958,344,25,35,High Risk
2026-06-25 10:05:00,954,56,41,31,High Risk
2026-06-25 10:05:05,910,399,36,63,High Risk
2026-06-25 10:05:10,515,481,26,71,High Risk
2026-06-25 10:05:15,928,470,37,34,High Risk
2026-06-25 10:05:20,879,115,45,81,High Risk
